
Lfd.Nr.;Gewinn Losnummer;Sponsor Anrede;Sponsor Name;Sponsor Strasse;Sponsor PLZ und Ort;e-mail; Bar Spende ? ;reine Sachspende;Gewinn;Wert Spende ?;akquisiert durch wen;Lagerort Gewinn;Erfasst von:;Gewinner Anrede;Gewinner Name;Gewinner Strasse;Gewinner PLZ und Ort;ausgeliefert am;ausgeh?ndigt von;Sponsorenquittung 
30;3378;Marcos Restaurant;Marcos Restaurant;Schlo?str. 33;51429 Bergisch Gladbach;02204-4805960;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
31;3888;Marcos Restaurant;Marcos Restaurant;Schlo?str. 33;51429 Bergisch Gladbach;02204-4805960;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
32;2357;Marcos Restaurant;Marcos Restaurant;Schlo?str. 33;51429 Bergisch Gladbach;02204-4805960;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
33;3341;Dieter Schmitz;Wild & Gefl?gel Robbe Wochenmarkt Bensberg;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
34;4136;Dieter Schmitz;Wild & Gefl?gel Robbe Wochenmarkt Bensberg;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
35;1861;Dieter Schmitz;Wild & Gefl?gel Robbe Wochenmarkt Bensberg;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
36;1767;Dieter Schmitz;Wild & Gefl?gel Robbe Wochenmarkt Bensberg;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
37;5419;Dieter Schmitz;Wild & Gefl?gel Robbe Wochenmarkt Bensberg;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
38;7766;Dieter Schmitz;Wild & Gefl?gel Robbe Wochenmarkt Bensberg;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
39;4532;Dieter Schmitz;Wild & Gefl?gel Robbe Wochenmarkt Bensberg;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
40;7317;Dieter Schmitz;Wild & Gefl?gel Robbe Wochenmarkt Bensberg;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
41;9451;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
42;7761;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
43;7915;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
44;9688;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
45;7618;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
46;3667;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
47;5929;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
48;6261;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
49;1791;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
50;9807;Monika Gieraths-Heller;Lapp Land Waschstra?e;Jakobstr. 59;51465 Bergisch Gladbach;;;;Gutschein;?;Anette Offermann;Anette Offermann;Clementine;;;;;;;
51;4058;Feinkost Kilic;Feinkost Kilic;;;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine;;;;;;;
52;3361;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
53;6862;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
54;5349;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
55;5500;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
56;8213;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
57;688;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
58;6505;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
59;9928;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
60;1309;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
61;7418;Brigitte Knoche;Herz Apotheke;Hauptstr.253;51503 R?srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
62;5317;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
63;540;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
64;1750;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
65;1664;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
66;3054;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
67;4334;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
68;602;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
69;6628;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
70;4791;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
71;8136;Karl-Alfred Scholz;Linden Apotheke;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;Roswitha Burger;Andrea;;;;;;;
72;2355;Stefan Wiehe; S. Wiehe Tankstellen GmbH Shell Station;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina;;;;;;;
73;1378;Stefan Wiehe; S. Wiehe Tankstellen GmbH Shell Station;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina;;;;;;;
74;7040;Stefan Wiehe; S. Wiehe Tankstellen GmbH Shell Station;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina;;;;;;;
75;7064;Stefan Wiehe; S. Wiehe Tankstellen GmbH Shell Station;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina;;;;;;;
76;8116;Stefan Wiehe; S. Wiehe Tankstellen GmbH Shell Station;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina;;;;;;;
77;6575;Stefan Wiehe; S. Wiehe Tankstellen GmbH Shell Station;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;20,00;Martina Uedelhoven;Anna;Martina;;;;;;;
78;2744;Stefan Wiehe; S. Wiehe Tankstellen GmbH Shell Station;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;20,00;Martina Uedelhoven;Anna;Martina;;;;;;;
79;6608;Stefan Wiehe; S. Wiehe Tankstellen GmbH Shell Station;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;20,00;Martina Uedelhoven;Anna;Martina;;;;;;;
80;4860;Sandra Oberd?rster;Blumen & Geschenke Sandra Oberd?rster;Wahlscheider Str. 24;53797 Lohmar;sandra-oberdoerster@t-online.de;;;Gutschein Blumenstrau?;25,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
81;3434;Markus Fischer;VR Bank eG Bergisch Gladbach-Leverkusen;Hauptstr.186;51465 Bergisch Gladbach;markus.fischer@vrbankgl.de; 500,00 ;;Apple iPad;;Martina Uedelhoven;wird pers?nlich ?bergeben;Martina;;;;;;;
82;3365;Judith Thome Wenz;Weinhandlung Thome Wenz;Hauptstr. 167;51503 R?srath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
83;6432;Judith Thome Wenz;Weinhandlung Thome Wenz;Hauptstr. 167;51503 R?srath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
84;8541;Judith Thome Wenz;Weinhandlung Thome Wenz;Hauptstr. 167;51503 R?srath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
85;1228;Judith Thome Wenz;Weinhandlung Thome Wenz;Hauptstr. 167;51503 R?srath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
86;280;Judith Thome Wenz;Weinhandlung Thome Wenz;Hauptstr. 167;51503 R?srath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
87;5864;Firma;Entsorgung Hoffmann GmbH;Hammerm?hle ;51491 Overath;info@hoffmann-entsorgung.de; 300,00 ;;Apple Watch;;Manuela Rex-Eberle;wird pers?nlich ?bergeben;;;;;;;;
88;7366;Andreas u.Sahrah Bettermann;Cafe Esperanza;Bensberger Str. 260c;51503 R?srath;info@cafeesperanza.com;;;Gutschein;10,00;Susanne Bittner;Clementine;Clementine;;;;;;;
89;6375;Andreas u.Sahrah Bettermann;Cafe Esperanza;Bensberger Str. 260c;51503 R?srath;info@cafeesperanza.com;;;Gutschein;10,00;Susanne Bittner;Clementine;Clementine;;;;;;;
90;288;Andreas u.Sahrah Bettermann;Cafe Esperanza;Bensberger Str. 260c;51503 R?srath;info@cafeesperanza.com;;;Gutschein;10,00;Susanne Bittner;Clementine;Clementine;;;;;;;
91;8269;Andreas u.Sahrah Bettermann;Cafe Esperanza;Bensberger Str. 260c;51503 R?srath;info@cafeesperanza.com;;;Gutschein;10,00;Susanne Bittner;Clementine;Clementine;;;;;;;
92;9125;Agnes Plewa;Plewa Kosmetikstudio;K?lner Str. 4;51429 Bergisch Gladbach;02204-52388; 100,00 ;;;;Susanne Bittner;Clementine;Clementine;;;;;;;
93;272;Simon Piske;Malerbetrieb;Josefsh?he 14;51491 Overath;info@malermeister-pieske.de; 200,00 ;;Restaurant Gutschein;;Manuela Rex-Eberle;wird pers?nlich ?bergeben;Manuela Rex-Eberle;;;;;;;
94;3114;Bernd Kopke;Elektromeister;Fischer Strasse 9;51491 Overath;info@bernd-kopke.de; 150,00 ;;Restaurant Gutschein;;Manuela Rex-Eberle;wird pers?nlich ?bergeben;Manuela Rex-Eberle;;;;;;;
95;2084;Mode Berg;Heike Berg;Am Weidenbach 7;51491 Overath;info@mode-heike-berg.de;;;Gutschein Mode Berg ;50,00;Manuela Rex-Eberle;wird pers?nlich ?bergeben;Manuela;;;;;;;
96;7393;Gonzalo Arias;Jaques Weindepot;Steinstra?e 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine;;;;;;;
97;604;Gonzalo Arias;Jaques Weindepot;Steinstra?e 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine;;;;;;;
98;3021;Gonzalo Arias;Jaques Weindepot;Steinstra?e 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine;;;;;;;
99;3247;Gonzalo Arias;Jaques Weindepot;Steinstra?e 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine;;;;;;;
100;3092;Gonzalo Arias;Jaques Weindepot;Steinstra?e 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine;;;;;;;
101;4608;Heike Schneider;The Jeans;Hauptstr. 167;51503 R?srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
102;6933;Heike Schneider;The Jeans;Hauptstr. 167;51503 R?srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
103;3653;Heike Schneider;The Jeans;Hauptstr. 167;51503 R?srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
104;4013;Heike Schneider;The Jeans;Hauptstr. 167;51503 R?srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
105;8238;Heike Schneider;The Jeans;Hauptstr. 167;51503 R?srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
106;7371;Heike Albrecht;Marie Wohnen und Mode;Hauptstr. 236;51503 R?srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im Gesch?ft;Andrea;;;;;;;
107;8618;Heike Albrecht;Marie Wohnen und Mode;Hauptstr. 236;51503 R?srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im Gesch?ft;Andrea;;;;;;;
108;2814;Heike Albrecht;Marie Wohnen und Mode;Hauptstr. 236;51503 R?srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im Gesch?ft;Andrea;;;;;;;
109;5916;Heike Albrecht;Marie Wohnen und Mode;Hauptstr. 236;51503 R?srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im Gesch?ft;Andrea;;;;;;;
110;9670;Heike Albrecht;Marie Wohnen und Mode;Hauptstr. 236;51503 R?srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im Gesch?ft;Andrea;;;;;;;
111;2315;Althoff;Grandhotel Schloss Bensberg;Kadettenstrasse;51429 Bergisch Gladbach;info@schlossbensberg.com;;;Gutschein Champagner Brunch;122,00;Manuela Rex-Eberle;wird pers?nlich ?bergeben;Manuela;;;;;;;
112;2894;Althoff;Grandhotel Schloss Bensberg;Kadettenstrasse;51429 Bergisch Gladbach;info@schlossbensberg.com;;;Gutschein Champagner Brunch;122,00;Manuela Rex-Eberle;wird pers?nlich ?bergeben;Manuela;;;;;;;
113;4100;Katharina Froch;Ina Mode und Mehr;Hauptstr. 49;51491 Overath;02206-919777;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
114;7334;Katharina Froch;Ina Mode und Mehr;Hauptstr. 49;51491 Overath;02206-919777;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
115;4253;Katharina Froch;Ina Mode und Mehr;Hauptstr. 49;51491 Overath;02206-919777;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
116;3279;Frau De Silvio;Cara Donna;Gladbacher Str. 2;51429 Bergisch Gladbach;kontakt@caradonna-bernsberg.de;;;Gutschein;50,00;Martina Uedelhoven;Anna;Martina;;;;;;;
117;2197;Frau De Silvio;Cara Donna;Gladbacher Str. 2;51429 Bergisch Gladbach;kontakt@caradonna-bernsberg.de;;;Gutschein;50,00;Martina Uedelhoven;Anna;Martina;;;;;;;
118;678;Daniela Schwamborn;Dany?s Fashion;Schlossstr. 5;51429 Bergisch Gladbach;info@danysfashion.de;;;Gutschein;50,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
119;9779;Daniela Schwamborn;Dany?s Fashion;Schlossstr. 5;51429 Bergisch Gladbach;info@danysfashion.de;;;Gutschein;50,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
120;133;Andre?Helmenstein;EP Radio City Overath;Propsteistr. 16-22;51491 Overath;radiocityeinkauf@gmail.com;;Hama 360 ? Sound Box;;;Elisabeth Schwar;im Gesch?ft;Martina;;;;;;;
123;8221;Andre?Helmenstein;EP Radio City Overath;Propsteistr. 16-22;51491 Overath;radiocityeinkauf@gmail.com;;Hama Wetterstation;;68,00;Elisabeth Schwar;im Gesch?ft;Martina;;;;;;;
124;6579;Ludwig Kr?mer;Ludwig Kr?mer GmbH & Co KG;Romaneyer Str. 25;51467 Bergisch Gladbach;info@ludwig-kraemer.de; 500,00 ;;Wellnesswochenende;;Martina Uedelhoven;wird pers?nlich ?bergeben;Martina;;;;;;;
125;9461;Katja Forgber-Miebach;Die Bahnhofapotheke;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
126;51;Katja Forgber-Miebach;Die Bahnhofapotheke;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
127;7711;Katja Forgber-Miebach;Die Bahnhofapotheke;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
128;4892;Katja Forgber-Miebach;Die Bahnhofapotheke;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
129;116;Katja Forgber-Miebach;Die Bahnhofapotheke;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im Gesch?ft;;;;;;;;
130;2496;Armin Vogel;Alpenstille;Bensberger Str.300;51503 R?srath;shop@alpenstille.de;;;Gutschein Skiservice mit Infrarotwachs;55,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
131;1556;Armin Vogel;Alpenstille;Bensberger Str.300;51503 R?srath;shop@alpenstille.de;;;Gutschein Skiservice mit Infrarotwachs;55,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
132;1332;Armin Vogel;Alpenstille;Bensberger Str.300;51503 R?srath;shop@alpenstille.de;;;Gutschein Skiservice mit Infrarotwachs;55,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
133;8822;Armin Vogel;Alpenstille;Bensberger Str.300;51503 R?srath;shop@alpenstille.de;;;Gutschein Skiservice mit Infrarotwachs;55,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
134;2500;Armin Vogel;Alpenstille;Bensberger Str.300;51503 R?srath;shop@alpenstille.de;;;Gutschein Skiservice mit Infrarotwachs;55,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
135;5761;Andreas u.Sahrah Bettermann;Cafe Esperanza;Bensberger Str. 260c;51503 R?srath;;;Thermo Kaffeebecher to go;;;Susanne Bittner;Clementine;Clementine;;;;;;;
136;148;Andreas u.Sahrah Bettermann;Cafe Esperanza;Bensberger Str. 260c;51503 R?srath;;;Thermo Kaffeebecher to go;;;Susanne Bittner;Clementine;Clementine;;;;;;;
