Lfd.Nr.;Gewinn;"Sponsor Anrede";Sponsor Name;Sponsor Strasse;Sponsor PLZ und Ort;e-mail;" Bar Spende â‚¬ ";reine Sachspende;Gewinn;"Wert Spende â‚¬";"akquisiert durch wen";Lagerort Gewinn;Erfasst von:
24;691;KSK KÃ¶ln BST 750;KSK Koeln, Fil. Berg.-Gladbach;Neumarkt 18-24;50667 KÃ¶ln;;;;Gutschein Kraeuterhaus Schad ;20,00;Susanne Bittner;Anna;Martina
25;3756;KSK KÃ¶ln BST 750;KSK Koeln, Fil. Berg.-Gladbach;Neumarkt 18-24;50667 KÃ¶ln;;;;Gutschein Kraeuterhaus Schad ;20,00;Susanne Bittner;Anna;Martina
26;2013;KSK KÃ¶ln BST 750;KSK Koeln, Fil. Berg.-Gladbach;Neumarkt 18-24;50667 KÃ¶ln;;;;Gutschein Kraeuterhaus Schad ;20,00;Susanne Bittner;Anna;Martina
27;495;KSK KÃ¶ln BST 750;KSK Koeln, Fil. Berg.-Gladbach;Neumarkt 18-24;50667 KÃ¶ln;;;;Gutschein Espresso Perfetto;20,00;Susanne Bittner;Anna;Martina
28;1781;KSK KÃ¶ln BST 750;KSK Koeln, Fil. Berg.-Gladbach;Neumarkt 18-24;50667 KÃ¶ln;;;;Gutschein Espresso Perfetto;20,00;Susanne Bittner;Anna;Martina
29;485;KSK KÃ¶ln BST 750;KSK Koeln, Fil. Berg.-Gladbach;Neumarkt 18-24;50667 KÃ¶ln;;;;Gutschein Espresso Perfetto;25,00;Susanne Bittner;Anna;Martina
30;2365;KSK KÃ¶ln BST 750;KSK Koeln, Fil. Berg.-Gladbach;Neumarkt 18-24;50667 KÃ¶ln;;;;Gutschein Espresso Perfetto;25,00;Susanne Bittner;;
31;2182;Marcos Restaurant;Marcos Restaurant Bensberg;SchloÃŸstr. 33;51429 Bergisch Gladbach;02204-4805960;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine
32;3747;Marcos Restaurant;Marcos Restaurant Bensberg;SchloÃŸstr. 33;51429 Bergisch Gladbach;02204-4805960;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine
33;2697;Marcos Restaurant;Marcos Restaurant Bensberg;SchloÃŸstr. 33;51429 Bergisch Gladbach;02204-4805960;;;Gutschein;20,00;Anette Offermann;Anette Offermann;Clementine
34;2657;Dieter Schmitz;Wild & Gefluegel Robbe Wochenmarkt ;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine
35;3108;Dieter Schmitz;Wild & Gefluegel Robbe Wochenmarkt ;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine
36;365;Dieter Schmitz;Wild & Gefluegel Robbe Wochenmarkt ;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine
37;2725;Dieter Schmitz;Wild & Gefluegel Robbe Wochenmarkt ;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine
38;3505;Dieter Schmitz;Wild & Gefluegel Robbe Wochenmarkt ;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine
39;683;Dieter Schmitz;Wild & Gefluegel Robbe Wochenmarkt ;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine
40;1818;Dieter Schmitz;Wild & Gefluegel Robbe Wochenmarkt ;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine
41;1366;Dieter Schmitz;Wild & Gefluegel Robbe Wochenmarkt ;;Bergisch Gladbach;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine
42;167;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
43;784;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
44;3404;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
45;3525;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
46;1778;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
47;2616;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
48;3864;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
49;3842;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
50;3146;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
51;1067;Monika Gieraths-Heller;LappLand WaschstraÃŸe Bensberg;Jakobstr. 59;51465 Bergisch Gladbach;;;;Autowaesche;Gutschein;Anette Offermann;Anette Offermann;Clementine
52;1689;Feinkost Kilic;Feinkost Kilic Wochenmarkt;;;;;;Gutschein;25,00;Anette Offermann;Anette Offermann;Clementine
53;3961;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
54;1987;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
55;2930;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
56;1462;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
57;1605;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
58;2866;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
59;1363;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
60;102;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
61;3039;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
62;3330;Brigitte Knoche;Herz Apotheke Roesrath;Hauptstr.253;51503 RÃ¶srath;herz.apotheke@t-online.de;;;Gutschein;10,00;Andrea Siebert;im GeschÃ¤ft;Andrea
63;2139;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
64;2079;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
65;591;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
66;2111;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
67;1184;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
68;3740;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
69;847;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
70;1791;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
71;275;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
72;1278;Karl-Alfred Scholz;Linden Apotheke Refrath;Siebenmorgen 39;51427 Bergisch Gladbach;apo@gesund-in-refrath.de;;;Gutschein;20,00;Roswitha Burger;wird verschickt;Andrea
73;2997;Stefan Wiehe; S. Wiehe Tankstellen Shell Station Refrath;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina
74;2434;Stefan Wiehe; S. Wiehe Tankstellen Shell Station Refrath;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina
75;2888;Stefan Wiehe; S. Wiehe Tankstellen Shell Station Refrath;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina
76;2152;Stefan Wiehe; S. Wiehe Tankstellen Shell Station Refrath;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina
77;3309;Stefan Wiehe; S. Wiehe Tankstellen Shell Station Refrath;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;10,00;Martina Uedelhoven;Anna;Martina
78;1118;Stefan Wiehe; S. Wiehe Tankstellen Shell Station Refrath;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;25,00;Martina Uedelhoven;Anna;Martina
79;1521;Stefan Wiehe; S. Wiehe Tankstellen Shell Station Refrath;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;25,00;Martina Uedelhoven;Anna;Martina
80;2961;Stefan Wiehe; S. Wiehe Tankstellen Shell Station Refrath;Lustheide 110;51427 Bergisch Gladbach;lustheide.tankstelle.wiehe@gmx.de;;;Gutschein;25,00;Martina Uedelhoven;Anna;Martina
81;607;Sandra OberdÃ¶rster;Blumen & Geschenke Sandra Oberdoerster Wahlscheid;Wahlscheider Str. 24;53797 Lohmar;sandra-oberdoerster@t-online.de;;;BlumenstrauÃŸ Gutschein;25,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
82;733;Markus Fischer;VR Bank eG Bergisch Gladbach-Leverkusen ;Hauptstr.186;51465 Bergisch Gladbach;markus.fischer@vrbankgl.de; 500,00 ;;Apple iPad;10. Generation;Martina Uedelhoven;wird persÃ¶nlich Ãœbergeben;Martina
83;3901;Judith Thome Wenz;Weinhandlung Thome-Wenz Roesrath;Hauptstr. 167;51503 RÃ¶srath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
84;648;Judith Thome Wenz;Weinhandlung Thome-Wenz Roesrath;Hauptstr. 167;51503 RÃ¶srath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
85;2393;Judith Thome Wenz;Weinhandlung Thome-Wenz Roesrath;Hauptstr. 167;51503 RÃ¶srath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
86;2703;Judith Thome Wenz;Weinhandlung Thome-Wenz Roesrath;Hauptstr. 167;51503 RÃ¶srath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
87;2868;Judith Thome Wenz;Weinhandlung Thome-Wenz Roesrath;Hauptstr. 167;51503 RÃ¶srath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
88;3959;Firma;Hoffmann Reinigungs- und Entsorgungs GmbH Overath;HammermÃ¼hle ;51491 Overath;info@hoffmann-entsorgung.de; 300,00 ;;Apple Watch;SE 2. Generation;Manuela Rex-Eberle;wird persÃ¶nlich Ã¼bergeben;Manuela Rex-Eberle
89;704;Andreas u.Sahrah Bettermann;Cafe Esperanza Roesrath;Bensberger Str. 260c;51503 RÃ¶srath;info@cafeesperanza.com;;;Gutschein;10,00;Susanne Bittner;Clementine;Clementine
90;1192;Andreas u.Sahrah Bettermann;Cafe Esperanza Roesrath;Bensberger Str. 260c;51503 RÃ¶srath;info@cafeesperanza.com;;;Gutschein;10,00;Susanne Bittner;Clementine;Clementine
91;2018;Andreas u.Sahrah Bettermann;Cafe Esperanza Roesrath;Bensberger Str. 260c;51503 RÃ¶srath;info@cafeesperanza.com;;;Gutschein;10,00;Susanne Bittner;Clementine;Clementine
92;2336;Andreas u.Sahrah Bettermann;Cafe Esperanza Roesrath;Bensberger Str. 260c;51503 RÃ¶srath;info@cafeesperanza.com;;;Gutschein;10,00;Susanne Bittner;Clementine;Clementine
93;3071;Agnes Plewa;Plewa Kosmetikstudio Bensberg;KÃ¶lner Str. 4;51429 Bergisch Gladbach;02204-52388;;;Gutschein Hondu Cafe;25,00;Susanne Bittner;wird verschickt;Andrea
94;2028;Agnes Plewa;Plewa Kosmetikstudio Bensberg;KÃ¶lner Str. 4;51429 Bergisch Gladbach;02204-52388;;;Gutschein Hondu Cafe;25,00;Susanne Bittner;wird verschickt;Andrea
95;4000;Agnes Plewa;Plewa Kosmetikstudio Bensberg;KÃ¶lner Str. 4;51429 Bergisch Gladbach;02204-52388;;;Gutschein Hondu Cafe;25,00;Susanne Bittner;wird verschickt;Andrea
96;168;Agnes Plewa;Plewa Kosmetikstudio Bensberg;KÃ¶lner Str. 4;51429 Bergisch Gladbach;02204-52388;;;Gutschein Hondu Cafe;25,00;Susanne Bittner;wird verschickt;Andrea
97;1434;Simon Pieske;Malerbetrieb Pieske  Overath;JosefshÃ¶he 14;51491 Overath;info@malermeister-pieske.de; 200,00 ;;Restaurant  Droeppelminna;Gutschein;Manuela Rex-Eberle;wird persÃ¶nlich Ã¼bergeben;Manuela Rex-Eberle
98;2353;Bernd Kopke;Elektromeister Bernd Kopke Overath;Fischer Strasse 9;51491 Overath;info@bernd-kopke.de; 150,00 ;;Restaurant  Oliveto;Gutschein;Manuela Rex-Eberle;wird persÃ¶nlich Ã¼bergeben;Manuela Rex-Eberle
99;2687;Heike Berg;Mode Heike Berg Overath;Am Weidenbach 7;51491 Overath;info@mode-heike-berg.de;;;Gutschein Mode Berg ;50,00;Manuela Rex-Eberle;im GeschÃ¤ft;Manuela
100;689;Gonzalo Arias;Jaques Weindepot Bensberg;SteinstraÃŸe 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine
101;2877;Gonzalo Arias;Jaques Weindepot Bensberg;SteinstraÃŸe 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine
102;797;Gonzalo Arias;Jaques Weindepot Bensberg;SteinstraÃŸe 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine
103;3255;Gonzalo Arias;Jaques Weindepot Bensberg;SteinstraÃŸe 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine
104;1129;Gonzalo Arias;Jaques Weindepot Bensberg;SteinstraÃŸe 45;51429 Bergisch Gladbach;;;;Gutschein;10,00;Birgit Brandes;Clementine;Clementine
105;2168;Heike Schneider;The Jeans Roesrath;Hauptstr. 167;51503 RÃ¶srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im GeschÃ¤ft;Andrea
106;3742;Heike Schneider;The Jeans Roesrath;Hauptstr. 167;51503 RÃ¶srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im GeschÃ¤ft;Andrea
107;405;Heike Schneider;The Jeans Roesrath;Hauptstr. 167;51503 RÃ¶srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im GeschÃ¤ft;Andrea
108;1806;Heike Schneider;The Jeans Roesrath;Hauptstr. 167;51503 RÃ¶srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im GeschÃ¤ft;Andrea
109;377;Heike Schneider;The Jeans Roesrath;Hauptstr. 167;51503 RÃ¶srath;schneider@the-jeans.de;;;Gutschein;20,00;Andrea Siebert;im GeschÃ¤ft;Andrea
110;580;Heike Albrecht;Marie Wohnen und Mode Roesrath;Hauptstr. 236;51503 RÃ¶srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im GeschÃ¤ft;Andrea
111;2891;Heike Albrecht;Marie Wohnen und Mode Roesrath;Hauptstr. 236;51503 RÃ¶srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im GeschÃ¤ft;Andrea
112;1951;Heike Albrecht;Marie Wohnen und Mode Roesrath;Hauptstr. 236;51503 RÃ¶srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im GeschÃ¤ft;Andrea
113;1448;Heike Albrecht;Marie Wohnen und Mode Roesrath;Hauptstr. 236;51503 RÃ¶srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im GeschÃ¤ft;Andrea
114;1268;Heike Albrecht;Marie Wohnen und Mode Roesrath;Hauptstr. 236;51503 RÃ¶srath;info@marie-wohnenundmode.de;;;Gutschein;15,00;Heike Drexel;im GeschÃ¤ft;Andrea
115;1461;Althoff;Grandhotel Schloss Bensberg;Kadettenstrasse;51429 Bergisch Gladbach;info@schlossbensberg.com;;;Gutschein Champagner Brunch;122,00;Manuela Rex-Eberle;wird persÃ¶nlich Ãœbergeben;Manuela Rex-Eberle
116;1015;Althoff;Grandhotel Schloss Bensberg;Kadettenstrasse;51429 Bergisch Gladbach;info@schlossbensberg.com;;;Gutschein Champagner Brunch;122,00;Manuela Rex-Eberle;wird persÃ¶nlich Ãœbergeben;Manuela Rex-Eberle
117;3769;Katharina Froch;Ina Mode und Mehr Overath;Hauptstr. 49;51491 Overath;02206-919777;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
118;325;Katharina Froch;Ina Mode und Mehr Overath;Hauptstr. 49;51491 Overath;02206-919777;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
119;3291;Katharina Froch;Ina Mode und Mehr Overath;Hauptstr. 49;51491 Overath;02206-919777;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
120;174;Frau De Silvio;Cara Donna Bensberg;Gladbacher Str. 2;51429 Bergisch Gladbach;kontakt@caradonna-bensberg.de;;;Gutschein;50,00;Martina Uedelhoven;Anna;Martina
121;1395;Frau De Silvio;Cara Donna Bensberg;Gladbacher Str. 2;51429 Bergisch Gladbach;kontakt@caradonna-bensberg.de;;;Gutschein;50,00;Martina Uedelhoven;Anna;Martina
122;322;Daniela Schwamborn;Dany S. Fashion Bensberg;Schlossstr. 5;51429 Bergisch Gladbach;info@danysfashion.de;;;Gutschein;50,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
123;3762;Daniela Schwamborn;Dany S. Fashion Bensberg;Schlossstr. 5;51429 Bergisch Gladbach;info@danysfashion.de;;;Gutschein;50,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
124;2814;AndreÂ´Helmenstein;EP Radio City Overath;Propsteistr. 16-22;51491 Overath;radiocityeinkauf@gmail.com;;Hama 360 Â° Sound Box;Hama 360 Â° ;Sound Box;Elisabeth Schwar;im GeschÃ¤ft;Martina
125;3366;AndreÂ´Helmenstein;EP Radio City Overath;Propsteistr. 16-22;51491 Overath;radiocityeinkauf@gmail.com;;Hama Wetterstation;Hama ;Wetterstation;Elisabeth Schwar;im GeschÃ¤ft;Martina
126;3643;Ludwig KrÃ¤mer;Ludwig Kraemer GmbH & Co KG;Romaneyer Str. 25;51467 Bergisch Gladbach;info@ludwig-kraemer.de; 500,00 ;;Wellnesswochenende ;Wertgutschein 500,00;Martina Uedelhoven;wird persÃ¶nlich Ãœbergeben;Martina
127;3025;Katja Forgber-Miebach;Die Bahnhof-Apotheke Overath;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
128;824;Katja Forgber-Miebach;Die Bahnhof-Apotheke Overath;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
129;60;Katja Forgber-Miebach;Die Bahnhof-Apotheke Overath;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
130;2003;Katja Forgber-Miebach;Die Bahnhof-Apotheke Overath;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
131;1696;Katja Forgber-Miebach;Die Bahnhof-Apotheke Overath;Hauptstr.66;51491 Overath;;;;Gutschein;20,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
132;208;Armin Vogel;Alpenstille Forsbach;Bensberger Str.300;51503 RÃ¶srath;shop@alpenstille.de;;;Gutschein Skiservice mit Infrarotwachs;55,00;Andrea Siebert;im GeschÃ¤ft;Andrea
